,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7584,50007676,A,KRUPA GROCERY,40.65992238,-73.98074952,12.07344209,13.81589332,0,American
7585,50007717,A,MY HOUSE,40.58653778,-73.95238232,11.19559595,12.81135555,3,American
7586,50007733,A,LOK HIN,40.80905916,-73.91835995,8.259754615,9.451810655,1,Chinese
7587,50007742,A,BOOTLEG BAR,40.69891926,-73.91713212,10.05498873,11.50613475,1,American
7588,50007745,A,THE SMILE OF THE BEYOND,40.70924872,-73.80470452,9.562183704,10.94220761,1,Vegetarian
7589,50007746,A,BURGER KING,40.89072865,-73.89768301,12.59311259,14.41056318,0,Hamburgers
7590,50007837,A,KENNEDY CHICKEN & BURGERS,40.86191669,-73.89108625,11.8239351,13.53037723,2,Chicken
7591,50007853,A,DUNKIN,40.69359411,-73.9643572,7.015487819,8.027970032,1,Donuts
7592,50007857,A,DON PANCHOLO LECHONERA RESTAURANT,40.85345547,-73.90767046,10.48723516,12.00076342,0,Latin American
7593,50007859,A,MEME'S HEALTHY NIBBLES,40.6730387,-73.95018978,6.054931956,6.928785787,1,"Juice, Smoothies, Fruit Salads"
7594,50007878,A,MANDARIN ORIENTAL HOTEL-BANQUET,40.76902175,-73.98280095,6.445171513,7.375345107,1,Chinese
7595,50007879,A,MANDARIN ORIENTAL HOTEL-CAFETERIA,40.76902175,-73.98280095,8.767642596,10.03299754,3,Other
7596,50007880,A,MANDARIN ORIENTAL NEW YORK- LOBBY LOUNGE 35TH FLOOR,40.76902175,-73.98280095,13.09212481,14.98159335,2,Asian/Asian Fusion
7597,50007895,A,AMINA THAI,40.71080594,-73.79272452,10.38431416,11.88298876,1,Thai
7598,50007907,A,CHECKERS,40.64949333,-73.96294657,9.363022857,10.71430367,0,Hamburgers
7599,50007909,A,CLOVER CLUB,40.68451691,-73.99197029,6.788814815,7.768583354,3,American
7600,50007916,A,L.A. BURRITO,40.67969203,-73.96501722,12.53278525,14.34152934,0,Mexican
7601,50007942,B,TRU,40.77472053,-73.90869712,20.49300005,23.4505703,0,Greek
7602,50007953,A,LA COMPAGNIE DES VINS SUPERNATURELS,40.72038859,-73.99803027,12.15027308,13.90381263,1,Mediterranean
7603,50007955,A,"MONARCH GILDED LILY , KOLA H",40.74192115,-74.00556467,9.216520208,10.54665762,1,American
7604,50007962,A,DA CAPO,40.78762321,-73.95388467,9.979650869,11.41992406,2,Coffee/Tea
7605,50007965,A,KUSHI KUSHI YAKI,40.74730839,-73.98590313,10.86136263,12.42888534,0,Korean
7606,50007971,A,EL PITALLITO RESTAURANT,40.83636509,-73.94317535,12.55900748,14.37153599,0,Spanish
7607,50007973,A,GOOD TASTE,40.69261979,-73.7321596,18.3569287,21.006219,0,Caribbean
7608,50007974,A,MR CAKE BAKERY & DESSERT,40.83139401,-73.85090244,12.53234225,14.3410224,2,Bakery Products/Desserts
7609,50008013,A,YSEB KOREAN CHINESE RESTAURANT,40.76524519,-73.81488599,13.02899772,14.90935569,1,Korean
7610,50008017,A,GREGORY'S COFFEE,40.70496278,-74.00708361,3.562134938,4.076225812,1,Coffee/Tea
7611,50008021,B,BOMBAY GRILL HOUSE,40.76424383,-73.98837957,21.99700535,25.17163515,0,Indian
7612,50008025,A,THE ONE,40.7638063,-73.82861859,9.899312694,11.3279914,1,American
7613,50008039,A,CAFE LILY,40.610245,-73.98358395,12.42049807,14.21303676,0,Russian
7614,50008061,A,VARIETY,40.7028716,-73.91695047,9.452053856,10.81618371,1,Coffee/Tea
7615,50008084,A,BANI RESTAURANT,40.82545561,-73.88273442,9.329451758,10.67588756,1,Spanish
7616,50008090,A,ARTS AND CRAFTS BEER PARLOR,40.73268513,-73.99740929,7.959306812,9.108001926,3,American
7617,50008103,A,PANERA BREAD,40.74751416,-73.98523902,10.78733266,12.34417129,2,American
7618,50008104,A,JASPER'S TAPHOUSE & KITCHEN,40.76424658,-73.98840123,8.640058223,9.887000061,3,American
7619,50008124,A,WENDY'S,40.67984656,-73.87802326,10.05897084,11.51069156,1,Hamburgers
7620,50008129,A,COCO FRESH TEA & JUICE,40.73740365,-73.877286,12.42049807,14.21303676,0,Coffee/Tea
7621,50008135,A,STARBUCKS,40.77932023,-73.95362686,9.326495409,10.67250455,1,Coffee/Tea
7622,50008136,A,WENDY'S,40.83887561,-73.94136619,6.095539274,6.975253594,1,American
7623,50008137,A,WENDY'S,40.79778891,-73.94012034,7.959306812,9.108001926,3,Hamburgers
7624,50008140,A,CHOP'T,40.71153017,-74.01567279,14.51096414,16.60520099,1,Salads
7625,50008145,A,MIGHTY QUINN'S,40.73671447,-74.00120162,10.38140883,11.87966413,3,Barbecue
7626,50008154,A,PYE BOAT NOODLE,40.76038623,-73.9220007,12.17647593,13.93379711,0,Thai
7627,50008164,A,EL BARRIO BURRITOS,40.67118902,-73.95779028,10.04381552,11.49334902,0,Mexican
7628,50008170,A,SOUTH SHORE HOT BAGELS,40.52320022,-74.23921823,2.816005309,3.22241401,1,Sandwiches
7629,50008181,B,PASTEUR GRILL & NOODLES,40.71677375,-73.99977274,25.25185207,28.89622459,0,Southeast Asian
7630,50008191,A,SHAKE SHAKE 8 KTV,40.75867154,-73.82907945,8.289213761,9.485521375,2,Chinese
7631,50008202,A,BARCADE,40.74414163,-73.99372059,7.805272279,8.931736975,3,American
7632,50008206,A,ROMEO'S PIZZA AND PASTA,40.68174788,-73.83755194,11.69057834,13.37777429,2,Italian
7633,50008218,C,CITRICO,40.67688642,-73.96358383,27.4520967,31.41401073,3,Mexican
7634,50008220,A,KARAOKE DUET,40.76449589,-73.98448076,12.42049807,14.21303676,0,Other
7635,50008221,A,BUONA PIZZA RESTAURANT,40.59848813,-73.7664742,7.628368056,8.729301757,2,Pizza
7636,50008223,A,SUBWAY,40.84644145,-73.89356227,2.816005309,3.22241401,1,Sandwiches
7637,50008235,A,DUNKIN',40.81983407,-73.91330296,12.64939943,14.4749734,1,Donuts
7638,50008239,A,NEW YORK YANKEES MVP CLUB,40.82902843,-73.92849646,12.5418776,14.35193391,0,American
7639,50008241,A,HEALTHY BITE,0,0,5.985087645,6.848861475,1,American
7640,50008245,A,NORTHERN BELL,40.71412176,-73.94859342,7.959306812,9.108001926,3,American
7641,50008252,A,BOCCONCINI,40.77159845,-73.73470737,7.904611326,9.045412733,2,Pizza
7642,50008258,A,BROOKVIN,40.66533816,-73.98286023,10.13271521,11.5950788,3,Tapas
7643,50008279,B,GARLIC PIZZA BAR,40.74503128,-73.97570484,25.07935839,28.69883646,2,Pizza
7644,50008280,A,WILD ORCHID BAR & LOUNGE,40.68019748,-73.82122331,8.802693432,10.07310695,0,American
7645,50008310,A,DESI GALLI,40.74216154,-73.98279348,13.20932298,15.11570568,0,Indian
7646,50008317,B,EL PATRON RESTAURANT & LOUNGE,40.62925564,-74.07660615,15.9551065,18.25776341,3,Mexican
7647,50008319,A,POULETTE,40.76503975,-73.98779461,7.497203213,8.579207073,2,Chicken
7648,50008323,A,VIA CAROTA,40.73299526,-74.00372732,12.52975721,14.3380643,2,Italian
